gene_id	perc_covered	lovcov_positions
100129583	0	chr4:76217607-76217688 chr4:76251746-76251820 chr4:76256177-76256523 chr4:76263703-76263843 chr4:76268659-76268813 chr4:76271567-76271768 chr4:76278068-76278224 chr4:76280263-76280341 chr4:76283380-76283458
100129654	0	chr8:66948050-66948164 chr8:66961375-66961765
100129669	0	chr9:24543228-24543367 chr9:24543663-24543754 chr9:24544200-24544281 chr9:24544742-24544760 chr9:24544971-24545061 chr9:24545211-24545286 chr9:24545423-24545649
100129697	0	chr16:88940194-88940332 chr16:88950256-88951360
100129792	0	chr5:42759121-42759208 chr5:42762442-42762548 chr5:42769596-42769665 chr5:42779457-42779522 chr5:42783473-42783576 chr5:42796828-42796956 chr5:42799374-42799458 chr5:42799658-42799781
100129836	0	chr13:110456773-110457435 chr13:110457524-110457587 chr13:110457682-110457719 chr13:110458090-110458286 chr13:110463022-110463094
100129842	100	
100129924	0	chr1:42785054-42785082 chr1:42789795-42789934 chr1:42792804-42792902 chr1:42793600-42793744 chr1:42794412-42794613 chr1:42798097-42798225
100129969	0	chr9:34889363-34889635 chr9:34892658-34893152 chr9:34894440-34894501 chr9:34895038-34895084 chr9:34895578-34895722
10013	98.4152565135643	chrX:48801932-48801944 chrX:48805630-48805675
100130086	0	chrX:149592591-149593299 chrX:149594136-149594700
100130274	0	chr8:143706693-143707569 chr8:143707665-143708109
100130301	0	chr8:73241456-73241605 chr8:73250267-73250323 chr8:73256972-73257126 chr8:73259331-73259458
100130302	0	chrX:24362682-24365424
100130311	0	chr17:4899762-4899828 chr17:4899935-4900145 chr17:4900236-4900533
100130348	0	chr11:65088428-65088531 chr11:65088650-65088750 chr11:65088857-65089031
100130361	0	chrX:71714651-71714692 chrX:71715246-71715292 chrX:71715574-71715651 chrX:71716194-71716351 chrX:71716927-71718151
100130519	0	chr19:17436457-17436927 chr19:17445198-17445284 chr19:17448142-17448462
100130520	0	chr17:74560700-74560824 chr17:74562833-74562897 chr17:74563918-74564275 chr17:74567282-74567343
100130613	0	chrX:126819843-126819863 chrX:126820658-126821535
100130705	0	chr7:128866409-128866830 chr7:128868665-128868775
100130733	0	chr5:62579438-62581307
100130742	0	chr8:91102661-91102844 chr8:91124492-91124619 chr8:91127087-91127160 chr8:91133109-91133305 chr8:91135667-91135739 chr8:91189521-91189623 chr8:91200612-91200792 chr8:91218889-91219000
100130771	43.019943019943	chr7:105567453-105567490 chr7:105569202-105569290 chr7:105569406-105569571 chr7:105581357-105581463
100130827	0	chr19:55540845-55541526 chr19:55544099-55544302 chr19:55544798-55544949 chr19:55545498-55545543
100130890	0	chr6:99526078-99526109 chr6:99531362-99531536 chr6:99531631-99531720
100130933	0	chr17:75647376-75647565
100130958	0	chr16:77199451-77199512 chr16:77206440-77206500 chr16:77208209-77208269 chr16:77208464-77208539 chr16:77209096-77209144 chr16:77209416-77209471 chr16:77211212-77211276 chr16:77212129-77212199 chr16:77212281-77212369 chr16:77212573-77212646 chr16:77212856-77212931
100130988	0	chr7:50096085-50096638 chr7:50104313-50104411 chr7:50129716-50129793 chr7:50134107-50134246 chr7:50136097-50136165 chr7:50140139-50140181 chr7:50141280-50141388 chr7:50151449-50151557 chr7:50159045-50159169
100131017	0	chr7:6642409-6642764 chr7:6642963-6643073 chr7:6643821-6643948 chr7:6644479-6644593 chr7:6652302-6654611
100131107	0	chr1:152079556-152080807
100131137	0	chr19:47976711-47976854 chr19:47977372-47977504 chr19:47979569-47979599 chr19:47980920-47980941 chr19:47992008-47992081
100131187	0	chr1:161037774-161037826 chr1:161037878-161038075 chr1:161038550-161038673 chr1:161038879-161038889
100131211	0	chr2:190509188-190509312 chr2:190510360-190510537 chr2:190514452-190514678 chr2:190516269-190516384 chr2:190517519-190517613 chr2:190518735-190518808 chr2:190518951-190519183 chr2:190525262-190525378 chr2:190534558-190534655
100131244	0	chr15:40281443-40282586
100131303	0	chr16:68014107-68014412 chr16:68015703-68015770
100131378	0	chr11:33698428-33698514 chr11:33700244-33700740
100131390	0	chr2:174335092-174335113 chr2:174336106-174337540
100131439	100	
100131539	100	
100131608	0	chr8:7539804-7539881 chr8:7540644-7540706 chr8:7540951-7541019 chr8:7541247-7541880
100131755	0	chrX:101488589-101495462
100131801	0	chr19:7629833-7629860 chr19:7630572-7630659 chr19:7630822-7630846 chr19:7631472-7631556
100131827	5.43406229290921	chr3:75730449-75730618 chr3:75732059-75732121 chr3:75736877-75739345 chr3:75741275-75741368 chr3:75783305-75783362
100131897	0	chr5:169864272-169864459 chr5:169881367-169881442 chr5:169882552-169883898
100131902	0	chr21:30289181-30289490
100131980	34.0308370044053	chr8:7357975-7358560 chr8:7362934-7362946
100132015	0	chrX:124332917-124335062
100132074	0	chr1:41361930-41362344 chr1:41381615-41382681
100132146	0	chr3:46612683-46612698 chr3:46617182-46617328 chr3:46625127-46625218
100132202	0	chr15:28553622-28553766 chr15:28555412-28555541 chr15:28556626-28556677 chr15:28556765-28556859 chr15:28556954-28557061 chr15:28558431-28558490 chr15:28558820-28558962 chr15:28559618-28561379
100132247	0	chr16:22513801-22513921 chr16:22523819-22523948 chr16:22527565-22527665 chr16:22527777-22527973 chr16:22532059-22532120 chr16:22532229-22532265 chr16:22533625-22536385
100132304	0	chrX:72781989-72782017 chrX:72782171-72782347 chrX:72782524-72782560
100132386	0	chr17:41105388-41106021
100132396	0	chr8:7947421-7947433 chr8:7949128-7949255 chr8:7950032-7950128 chr8:7950664-7950747 chr8:7951806-7952391
100132399	0	chrX:49542887-49542971 chrX:49543436-49543557 chrX:49546379-49546505 chrX:49548980-49549003
100132406	8.49451123889179	chr1:146066317-146066561 chr1:146067179-146067288 chr1:146068002-146068175 chr1:146068771-146068823 chr1:146069542-146069715 chr1:146070323-146070432 chr1:146071146-146071319 chr1:146071967-146072019 chr1:146072728-146072901 chr1:146073499-146073551 chr1:146074270-146074443 chr1:146075045-146075154 chr1:146075868-146076041 chr1:146076705-146076757 chr1:146077466-146077639 chr1:146078235-146078287 chr1:146079006-146079179 chr1:146079781-146079890 chr1:146080604-146080777 chr1:146081435-146081487 chr1:146082196-146082369 chr1:146082965-146083017 chr1:146083736-146083909 chr1:146084517-146084626 chr1:146085340-146085513 chr1:146086163-146086215 chr1:146086923-146087096 chr1:146087692-146087744 chr1:146088463-146088636 chr1:146089238-146089347 chr1:146090061-146090234 chr1:146090880-146090932 chr1:146091641-146091814 chr1:146092410-146092462 chr1:146093181-146093354 chr1:146093956-146094065 chr1:146094779-146094952 chr1:146095602-146095654 chr1:146096363-146096536 chr1:146097132-146097184 chr1:146097903-146098076 chr1:146098678-146098787 chr1:146099501-146099674 chr1:146100324-146100376 chr1:146101085-146101258 chr1:146101854-146101906 chr1:146102625-146102798 chr1:146103400-146103509 chr1:146104223-146104396 chr1:146105042-146105094 chr1:146105803-146105976 chr1:146106572-146106624 chr1:146107343-146107516 chr1:146108118-146108227 chr1:146108941-146109114 chr1:146109750-146109802 chr1:146110511-146110684 chr1:146111280-146111332 chr1:146112053-146112226 chr1:146112828-146112937 chr1:146113651-146113824 chr1:146114468-146114520 chr1:146115229-146115402 chr1:146115998-146116050 chr1:146116771-146116944 chr1:146117546-146117655 chr1:146118369-146118542 chr1:146119194-146119246 chr1:146119955-146120128 chr1:146120724-146120776 chr1:146121497-146121670 chr1:146122282-146122391 chr1:146123105-146123278 chr1:146123926-146123978 chr1:146124687-146124860 chr1:146125464-146125516 chr1:146128118-146128282 chr1:146132185-146132237 chr1:146133522-146133728 chr1:146135306-146135521 chr1:146138235-146138445 chr1:146139808-146140020
100132463	0	chr4:183321763-183322426
100132476	0	chr17:41084206-41084674
100132565	0	chr15:28378725-28378809 chr15:28380506-28380626 chr15:28381211-28381271 chr15:28381454-28381535 chr15:28382389-28382428 chr15:28382701-28382749 chr15:28382837-28382922 chr15:28383017-28383127 chr15:28384146-28384236 chr15:28384342-28384450 chr15:28384645-28384733 chr15:28385124-28385381 chr15:28385648-28385717 chr15:28387088-28387164 chr15:28387601-28387693 chr15:28388267-28388368 chr15:28388450-28388551 chr15:28388640-28388793 chr15:28388878-28389063
100132911	100	
100132916	0	chr5:64690623-64690814 chr5:64695506-64695664 chr5:64717888-64718022
100132963	0	chrX:154823754-154823782 chrX:154829534-154829664 chrX:154830714-154830856
100132994	0	chrX:71763423-71764647 chrX:71765223-71765380 chrX:71765923-71766000 chrX:71766282-71766328 chrX:71766882-71766923
100133053	0	chrX:146809791-146809923 chrX:146810113-146810308
100133093	0	chr10:47487274-47487408 chr10:47489585-47489648 chr10:47491601-47491674
100133204	0	chr9:112453915-112454162 chr9:112460623-112460762 chr9:112469722-112469837 chr9:112486389-112486518
100133220	0	chr15:85240471-85240555 chr15:85242219-85242339 chr15:85242961-85243021 chr15:85243206-85243287 chr15:85243951-85244039 chr15:85244423-85245081 chr15:85245167-85245372 chr15:85245638-85245699 chr15:85246725-85246828 chr15:85247037-85247170
100133251	0	chr8:7779160-7779793 chr8:7780021-7780089 chr8:7780334-7780396 chr8:7781159-7781236
100133267	0	chr8:12064388-12064570 chr8:12071689-12071747
100133941	0	chr6:106971660-106971834 chr6:106973669-106973885 chr6:106974577-106974646
100134444	0	chr17:21702786-21704088
100134934	0	chr17:75986192-75986284 chr17:75991465-75991623 chr17:76000140-76000262
100134938	0	chr7:102637524-102637633 chr7:102638713-102638834 chr7:102639122-102639199 chr7:102640203-102640414 chr7:102640611-102640773 chr7:102642629-102642741
100137047	100	
100137049	100	
10014	88.3166568569747	chr17:44082764-44082820 chr17:44086571-44086737 chr17:44093313-44093485
100141515	0	chr17:78146407-78146444 chr17:78146878-78146911 chr17:78160954-78161254 chr17:78164094-78164364 chr17:78165888-78166046
100142659	0	chr7:144266916-144269250
100144748	0	chr10:87861950-87862487
10015	92.3329682365827	chr3:33798728-33798937
100151643	0	chr21:30620657-30620792
10016	82.4742268041237	chr5:271720-271821
100169851	0	chr11:125788151-125788200 chr11:125789385-125789508 chr11:125790477-125790602
10017	23.0769230769231	chr15:52112167-52112726
100170229	0	chr19:43612121-43614304
100170765	0	chr19:41443169-41443343 chr19:41444005-41444224
100170841	0	chr17:38673355-38674495
10018	59.4648166501487	chr2:111128626-111128751 chr2:111130131-111130235 chr2:111142312-111142391 chr2:111144487-111144501 chr2:111151821-111151851 chr2:111153779-111153808 chr2:111161418-111161439
100188893	0	chr6:41787697-41787825 chr6:41789231-41789328
10019	53.813104189044	chr12:111418145-111418877 chr12:111434901-111435027
100190949	0	chr5:157671614-157671826 chr5:157675091-157675200 chr5:157679840-157679999
100191040	0	chr1:151837927-151838989
1002	95.859872611465	chr20:61252513-61252570 chr20:61499434-61499492
10020	100	
10021	37.6795580110497	chr15:73322480-73323949 chr15:73367485-73368270
10022	100	
10023	0	chr10:97319453-97320293
10024	100	
10025	84.4469611174028	chr19:868862-868946 chr19:871036-871253 chr19:890136-890244
10026	100	
100271715	0	chr2:38919447-38919472 chr2:38921373-38921423 chr2:38928906-38929071 chr2:38929708-38929830 chr2:38931108-38931251 chr2:38935774-38935834 chr2:38937334-38937559 chr2:38943900-38944030 chr2:38950988-38951121 chr2:38953161-38953245 chr2:38954372-38954456 chr2:38956898-38957047 chr2:38958033-38958198 chr2:38959840-38960648 chr2:38966005-38966145 chr2:38971869-38971921 chr2:38973713-38973843
100271846	0	chr19:53049251-53050859
100271849	63.6288998357964	chr19:19145693-19146022 chr19:19146272-19146384
100271927	2.71270036991369	chr7:102483591-102483713 chr7:102483824-102483889 chr7:102485038-102485159 chr7:102488462-102488598 chr7:102490985-102491123 chr7:102493115-102493285 chr7:102493824-102493969 chr7:102494537-102494675 chr7:102494880-102495073 chr7:102495277-102495390 chr7:102496468-102496619 chr7:102496846-102496964 chr7:102500698-102500793 chr7:102501095-102501227 chr7:102503162-102503244 chr7:102506694-102506824 chr7:102509598-102509660 chr7:102510178-102510292 chr7:102511924-102511981 chr7:102517645-102517710
100272147	100	
100287036	0	chr16:89323305-89323333 chr16:89324235-89324585
100287045	0	chr4:9173172-9173295 chr4:9173789-9173989 chr4:9174447-9174556 chr4:9175204-9176167
100287144	0	chr4:9210656-9212249
100287171	0	chr9:14806-14940 chr9:15080-15149 chr9:15908-16061 chr9:16717-16876 chr9:16964-17166 chr9:17343-17479 chr9:17718-17855 chr9:18027-18174 chr9:18380-18492 chr9:24850-24999
100287178	0	chr4:9215404-9216997
100287205	0	chr4:9220151-9221744
100287226	6.80308264682434	chr19:22313670-22317176
100287238	0	chr4:9224895-9226488
100287284	0	chr12:27762737-27763396 chr12:27766664-27766799 chr12:27771047-27771276
100287327	0	chr4:9243878-9245471
100287364	0	chr4:9248629-9250222
100287399	0	chr15:20835390-20835603 chr15:20837243-20837367 chr15:20845832-20845999 chr15:20847044-20847089 chr15:20848492-20848563 chr15:20854056-20854127 chr15:20856635-20856773 chr15:20858110-20858217 chr15:20861041-20861215 chr15:20861374-20861489 chr15:20865871-20866281
100287404	0	chr4:9253377-9254970
100287441	0	chr4:9258123-9259716
100287478	0	chr4:9262871-9264464
100287482	0	chr7:129502824-129502827 chr7:129512246-129512441
100287513	0	chr4:9267618-9269211
100287520	91.3566739606127	chr11:59086306-59086384
100287718	0	chr6:46746921-46746990 chr6:46749895-46749979 chr6:46751936-46752111 chr6:46753721-46753950 chr6:46758722-46758921
100287896	0	chr11:74496905-74498084
100287898	0	chr1:2641367-2641895 chr1:2644263-2644478 chr1:2645292-2645563 chr1:2783608-2783775 chr1:2785818-2786023 chr1:2787480-2787706 chr1:2789502-2790346 chr1:2800043-2800827
100287932	100	
100288072	0	chr16:22165582-22166434 chr16:22166903-22166999 chr16:22169444-22169502 chr16:22170832-22170951 chr16:22172255-22172331 chr16:22178129-22178212 chr16:22181518-22181656 chr16:22182211-22182277 chr16:22184180-22184244 chr16:22186720-22186794 chr16:22190138-22190393
100288142	2.31067098330476	chr1:145293203-145293376 chr1:145294020-145294072 chr1:145294781-145294954 chr1:145295566-145295618 chr1:145296337-145296510 chr1:145297138-145297247 chr1:145297961-145298134 chr1:145298786-145298838 chr1:145299547-145299720 chr1:145300328-145300380 chr1:145301099-145301192 chr1:145302816-145302896 chr1:145303532-145303584 chr1:145304293-145304466 chr1:145305069-145305178 chr1:145305892-145306065 chr1:145306715-145306767 chr1:145307476-145307649 chr1:145308252-145308361 chr1:145309075-145309248 chr1:145309896-145309948 chr1:145310657-145310830 chr1:145311436-145311488 chr1:145312207-145312380 chr1:145313008-145313117 chr1:145313831-145314004 chr1:145314664-145314716 chr1:145315425-145315598 chr1:145316206-145316258 chr1:145316977-145317150 chr1:145317780-145317889 chr1:145318603-145318776 chr1:145319434-145319486 chr1:145320195-145320368 chr1:145320968-145321020 chr1:145321739-145321912 chr1:145322542-145322651 chr1:145323365-145323538 chr1:145324184-145324236 chr1:145324945-145325118 chr1:145325718-145325770 chr1:145326489-145326662 chr1:145327290-145327399 chr1:145328113-145328286 chr1:145328944-145328996 chr1:145329705-145329878 chr1:145330485-145330537 chr1:145331256-145331429 chr1:145332057-145332166 chr1:145332880-145333053 chr1:145333697-145333749 chr1:145334458-145334631 chr1:145335241-145335293 chr1:145336012-145336185 chr1:145336813-145336922 chr1:145337636-145337809 chr1:145338453-145338505 chr1:145339214-145339387 chr1:145339995-145340047 chr1:145340766-145340939 chr1:145341563-145341672 chr1:145342386-145342559 chr1:145343207-145343259 chr1:145343968-145344141 chr1:145344749-145344801 chr1:145345520-145345693 chr1:145346321-145346430 chr1:145347144-145347317 chr1:145347977-145348029 chr1:145348738-145348911 chr1:145349519-145349571 chr1:145350290-145350463 chr1:145351093-145351202 chr1:145351916-145352089 chr1:145352741-145352793 chr1:145353502-145353675 chr1:145354283-145354335 chr1:145355054-145355227 chr1:145355855-145355964 chr1:145356678-145356851 chr1:145357489-145357541 chr1:145358250-145358423 chr1:145359030-145359082 chr1:145359801-145359974 chr1:145360602-145360711 chr1:145361425-145361598 chr1:145362242-145362294 chr1:145363003-145363176 chr1:145363784-145363836 chr1:145364555-145364728 chr1:145365356-145365465 chr1:145366179-145366352 chr1:145367002-145367054 chr1:145367763-145367936 chr1:145368544-145368596 chr1:145369315-145369488 chr1:145370116-145370225 chr1:145370939-145371112 chr1:145371750-145371802 chr1:145372511-145372684 chr1:145373292-145373344 chr1:145374063-145374236 chr1:145374864-145374973 chr1:145375687-145375860 chr1:145376504-145376556 chr1:145377265-145377438 chr1:145378042-145378094 chr1:145378813-145378986 chr1:145379616-145379725 chr1:145380439-145380612 chr1:145381256-145381308 chr1:145382017-145382190 chr1:145382798-145382850 chr1:145383569-145383742 chr1:145384370-145384479 chr1:145385193-145385366 chr1:145386012-145386064 chr1:145386773-145386946 chr1:145387546-145387598 chr1:145388317-145388490 chr1:145389120-145389229 chr1:145389943-145390116 chr1:145390768-145390820 chr1:145391529-145391702 chr1:145392302-145392354 chr1:145393073-145393246
100288287	0	chr21:30590236-30590374
100288323	0	chr21:30718582-30718759
100288332	0	chr16:15363658-15364069 chr16:15364875-15364932 chr16:15365428-15365464 chr16:15365573-15365634 chr16:15366652-15366760 chr16:15369711-15369856 chr16:15370019-15370119 chr16:15373714-15373843 chr16:15378231-15378294
100288413	0	chr4:52743828-52745520
100288485	0	chr10:37601969-37602044
100288520	0	chr4:9234384-9236002 chr4:9236272-9236334
100288687	0	chr4:190173773-190175048 chr4:190175192-190175198
100288695	0	chr2:110446738-110446886 chr2:110447084-110447160 chr2:110449818-110449867 chr2:110451160-110451253 chr2:110451863-110452014 chr2:110454850-110455000 chr2:110455434-110455555 chr2:110457029-110457096 chr2:110465615-110465627 chr2:110468094-110468254 chr2:110472596-110472778
100288797	0	chr20:2816334-2816415 chr20:2816506-2817013
100288801	100	
100288814	0	chrX:9967357-9968002
100289087	0	chrY:9527925-9528411 chrY:9529018-9529096 chrY:9529224-9529336 chrY:9529437-9529583 chrY:9529678-9529771 chrY:9530465-9530488
100289187	0	chr7:99604388-99604596 chr7:99606747-99606894 chr7:99607672-99607810 chr7:99610392-99610565
100289462	29.9492385786802	chr8:7414960-7415097
100289561	100	
100289635	95.3534354918438	chr12:132932712-132932805
100289678	47.4802671523983	chr7:149262333-149262357 chr7:149281504-149282343
100293516	89.6949711459192	chr19:57830528-57830564 chr19:57844255-57844342
1003	78.0642434488588	chr16:66402651-66403169
100302652	93.9321832242713	chr2:53859827-53859928
100302736	86.1051115910727	chr5:115625600-115625792
100303755	0	chr20:18137955-18138051 chr20:18142207-18142357
100310812	0	chr7:102652348-102652508 chr7:102653450-102653669 chr7:102654983-102655214 chr7:102656247-102656306 chr7:102657550-102657636 chr7:102659689-102660083 chr7:102660205-102660265
100310846	0	chr7:6031375-6031591 chr7:6032838-6032936 chr7:6035443-6036386
100316904	0	chr7:100572286-100572571 chr7:100572653-100572751 chr7:100572859-100573013 chr7:100573105-100573212 chr7:100573296-100573400 chr7:100573596-100573742
100329135	0	chrX:111901849-111902185
10036	90.1593901593902	chr19:4402762-4402814 chr19:4422565-4422795
10038	97.341628959276	chr14:20343641-20343687
100381270	0	chr1:203797522-203800462
10039	87.3929008567931	chr3:51942689-51942708 chr3:51943353-51943538
1004	100	
10040	100	
100419008	8.34645669291339	chr3:127284059-127284640
10042	100	
100423062	0	chr22:22888053-22888259 chr22:22893699-22893818 chr22:22895374-22895694
10043	91.3159652638611	chr22:35299928-35299980 chr22:35338712-35338788
100431172	0	chr12:9881595-9881665 chr12:9884933-9885032 chr12:9888732-9888780 chr12:9893019-9893168 chr12:9893428-9893541 chr12:9895688-9895833
10044	78.6750164798945	chr9:127739681-127739888 chr9:127755078-127755159 chr9:127766900-127767211 chr9:127771185-127771229
10045	69.8275862068966	chr19:6752592-6752753 chr19:6753455-6753641 chr19:6754250-6754425
10046	68.9204875217644	chrX:150512003-150513073
100462977	0	chr17:22524061-22524136
100462981	0	chr5:80649999-80650086
100462983	0	chr20:57358964-57359039
100463285	0	chr16:3371815-3371902
100463289	0	chr10:55599899-55599974
100463482	0	chr7:142667230-142667305
100463486	0	chr11:10508151-10508226
100463487	0	chr6:61574327-61574402
100463488	0	chrX:55181919-55181994
10047	100	
10048	74.0471869328494	chr6:13710934-13711505
10049	79.7073170731707	chr7:157409794-157410001
100499483	86.189111747851	chr9:97323780-97323903 chr9:97345605-97345696 chr9:97347313-97347489 chr9:97349110-97349291 chr9:97350408-97350555
1005	100	
10050	100	
100500938	0	chr11:22847509-22847521 chr11:22857921-22858026 chr11:22859451-22859496 chr11:22860376-22860421
100505385	56.4249000571102	chr3:159245842-159245907 chr3:159764442-159765138
100505478	0	chr9:114666642-114666746 chr9:114668205-114668337 chr9:114671382-114671505 chr9:114671719-114671723
100505502	0	chr10:31362798-31363824
100505573	0	chr15:40324055-40324517
100505591	0	chr17:39941523-39941549 chr17:39943932-39944734
100505679	0	chr15:84172501-84172585 chr15:84174007-84174157 chr15:84181981-84182143
100505724	0	chr17:41275697-41276207
100505741	76.8476621417798	chr1:84532859-84532974 chr1:84550431-84550530 chr1:84553034-84553124
100505753	0	chr17:41307699-41309253
100505767	54.3165467625899	chr7:77059179-77059398 chr7:77060352-77060512
100505841	0	chr5:122160229-122160262 chr5:122179549-122179730 chr5:122182490-122182642
100505876	0	chr2:37199704-37199819 chr2:37201047-37201092 chr2:37201641-37201724
100505989	0	chr4:164770443-164770555 chr4:164801090-164801194
100505993	0	chr9:137170974-137171164 chr9:137171413-137171443 chr9:137171640-137171776 chr9:137171939-137172027
100506012	53.1393568147014	chr19:46481383-46481440 chr19:46519813-46519972 chr19:46600882-46600969
100506013	0	chr4:164877331-164877407 chr4:164878919-164879008
100506049	0	chr7:16526952-16527042 chr7:16532494-16532568 chr7:16537626-16537696 chr7:16557359-16557441 chr7:16558888-16558999 chr7:16566312-16566402 chr7:16567390-16567543 chr7:16580073-16580101 chr7:16581323-16581489
100506084	0	chr17:46299546-46299665 chr17:46330449-46331981 chr17:46339499-46339774 chr17:46352819-46352930 chr17:46358249-46358397
100506115	0	chr20:50275669-50275735 chr20:50277490-50277613 chr20:50278176-50278329
100506127	0	chr11:76381828-76382461 chr11:76403659-76404042 chr11:76410861-76411101
100506144	0	chr1:34981943-34982119 chr1:34983766-34983947 chr1:34985197-34985305
100506164	0	chrX:149774681-149775245 chrX:149776082-149776790
100506243	32.7365728900256	chr3:42938895-42938931 chr3:42941957-42942071 chr3:42942537-42942647
100506374	0	chr19:56272834-56272919 chr19:56276091-56276109 chr19:56281692-56281698 chr19:56282490-56282499 chr19:56284197-56284206 chr19:56284997-56285024 chr19:56288384-56288438 chr19:56288873-56288891 chr19:56290840-56290846 chr19:56295958-56295967 chr19:56296335-56296362 chr19:56297504-56297531 chr19:56301967-56302095 chr19:56304792-56304830 chr19:56310123-56310148
100506422	0	chr9:26094594-26094627 chr9:26109952-26110139 chr9:26114383-26114465 chr9:26116128-26116246 chr9:26116849-26116855
100506540	0	chr11:18599928-18599997 chr11:18601091-18601180 chr11:18603157-18603179
100506564	0	chr4:56530676-56531169 chr4:56548789-56548823 chr4:56552548-56552614 chr4:56559391-56559520 chr4:56575504-56575642 chr4:56584496-56584611 chr4:56596499-56596631 chr4:56600933-56601109 chr4:56603208-56603323
100506581	0	chr16:87303056-87303075 chr16:87305718-87305905 chr16:87310296-87310333 chr16:87311149-87311296 chr16:87314970-87315096 chr16:87315771-87315823 chr16:87317086-87317242
100506658	56.6899175649968	chr5:69534693-69534839 chr5:69544903-69545119 chr5:69547929-69548101 chr5:69551543-69551585 chr5:69553569-69553671
100506736	63.1073144687667	chr17:35474922-35475485 chr17:35478074-35478185 chr17:35487725-35487739
100506888	0	chr18:46962767-46964408
100507003	0	chr19:49426430-49427613 chr19:49427945-49428119 chr19:49428618-49428818
100507027	0	chr10:59737059-59737200
100507050	0	chr11:75241049-75242198
100507055	0	chr12:132603401-132603404 chr12:132604253-132604376 chr12:132604461-132604584 chr12:132604705-132604831 chr12:132606146-132606251
100507096	0	chr4:106358182-106358443 chr4:106367042-106367435
100507170	0	chrX:120930288-120930413 chrX:120931300-120932042
100507203	0	chr6:130827413-130827651 chr6:130834869-130834955
100507290	0	chr19:55613618-55616798
100507341	0	chr8:30645309-30645597
100507421	0	chr7:141074310-141074692 chr7:141212590-141212704 chr7:141437607-141437745 chr7:141470535-141470786
100507436	92.9282868525896	chr6:31403632-31403702
100507527	0	chr19:31592280-31592342 chr19:31592616-31593039
100507537	0	chr3:155290943-155291038 chr3:155293619-155293632
100507588	0	chr19:7916267-7916543 chr19:7916621-7916942 chr19:7917472-7917599 chr19:7917700-7917859 chr19:7918056-7918124
